\\wsl.localhost\Ubuntu\home\mashuko3000\studying\AFK_Journey_4\3_hw\cmake-build-debug\3_hw
=== TASK 9 ===

=== TASK 9: i.  A=0.2, α²=1/0.6, β²=1/2 ===
Initial guess: (0.8, 0.8)
 Iter              x              y       ||F||₂     ||ΔX||₂
  100     0.70000000     1.10000000     3.03803035     0.00000000
Did not converge (max iterations reached)

=== TASK 9: iv. A=0,   α²=1/0.6, β²=1/2 ===
Initial guess: (0.80000000, 0.80000000)
 Iter              x              y       ||F||₂     ||ΔX||₂
----------------------------------------------------------------------
    0     0.80000000     0.80000000     0.67217960     0.00000000
    1     0.80000000     0.80000000     0.67217960     0.00000000
    2     0.80000000     0.80000000     0.67217960     0.00000000
    3     0.80000000     0.80000000     0.67217960     0.00000000
    4     0.80000000     0.80000000     0.67217960     0.00000000
    5     0.80000000     0.80000000     0.67217960     0.00000000
    6     0.80000000     0.80000000     0.67217960     0.00000000
    7     0.80000000     0.80000000     0.67217960     0.00000000
    8     0.80000000     0.80000000     0.67217960     0.00000000
    9     0.80000000     0.80000000     0.67217960     0.00000000
   10     0.80000000     0.80000000     0.67217960     0.00000000
   11     0.80000000     0.80000000     0.67217960     0.00000000
   12     0.80000000     0.80000000     0.67217960     0.00000000
   13     0.80000000     0.80000000     0.67217960     0.00000000
   14     0.80000000     0.80000000     0.67217960     0.00000000
   15     0.80000000     0.80000000     0.67217960     0.00000000
   16     0.80000000     0.80000000     0.67217960     0.00000000
   17     0.80000000     0.80000000     0.67217960     0.00000000
   18     0.80000000     0.80000000     0.67217960     0.00000000
   19     0.80000000     0.80000000     0.67217960     0.00000000
   20     0.80000000     0.80000000     0.67217960     0.00000000
   21     0.80000000     0.80000000     0.67217960     0.00000000
   22     0.80000000     0.80000000     0.67217960     0.00000000
   23     0.80000000     0.80000000     0.67217960     0.00000000
   24     0.80000000     0.80000000     0.67217960     0.00000000
   25     0.80000000     0.80000000     0.67217960     0.00000000
   26     0.80000000     0.80000000     0.67217960     0.00000000
   27     0.80000000     0.80000000     0.67217960     0.00000000
   28     0.80000000     0.80000000     0.67217960     0.00000000
   29     0.80000000     0.80000000     0.67217960     0.00000000
   30     0.80000000     0.80000000     0.67217960     0.00000000
   31     0.80000000     0.80000000     0.67217960     0.00000000
   32     0.80000000     0.80000000     0.67217960     0.00000000
   33     0.80000000     0.80000000     0.67217960     0.00000000
   34     0.80000000     0.80000000     0.67217960     0.00000000
   35     0.80000000     0.80000000     0.67217960     0.00000000
   36     0.80000000     0.80000000     0.67217960     0.00000000
   37     0.80000000     0.80000000     0.67217960     0.00000000
   38     0.80000000     0.80000000     0.67217960     0.00000000
   39     0.80000000     0.80000000     0.67217960     0.00000000
   40     0.80000000     0.80000000     0.67217960     0.00000000
   41     0.80000000     0.80000000     0.67217960     0.00000000
   42     0.80000000     0.80000000     0.67217960     0.00000000
   43     0.80000000     0.80000000     0.67217960     0.00000000
   44     0.80000000     0.80000000     0.67217960     0.00000000
   45     0.80000000     0.80000000     0.67217960     0.00000000
   46     0.80000000     0.80000000     0.67217960     0.00000000
   47     0.80000000     0.80000000     0.67217960     0.00000000
   48     0.80000000     0.80000000     0.67217960     0.00000000
   49     0.80000000     0.80000000     0.67217960     0.00000000
   50     0.80000000     0.80000000     0.67217960     0.00000000
   51     0.80000000     0.80000000     0.67217960     0.00000000
   52     0.80000000     0.80000000     0.67217960     0.00000000
   53     0.80000000     0.80000000     0.67217960     0.00000000
   54     0.80000000     0.80000000     0.67217960     0.00000000
   55     0.80000000     0.80000000     0.67217960     0.00000000
   56     0.80000000     0.80000000     0.67217960     0.00000000
   57     0.80000000     0.80000000     0.67217960     0.00000000
   58     0.80000000     0.80000000     0.67217960     0.00000000
   59     0.80000000     0.80000000     0.67217960     0.00000000
   60     0.80000000     0.80000000     0.67217960     0.00000000
   61     0.80000000     0.80000000     0.67217960     0.00000000
   62     0.80000000     0.80000000     0.67217960     0.00000000
   63     0.80000000     0.80000000     0.67217960     0.00000000
   64     0.80000000     0.80000000     0.67217960     0.00000000
   65     0.80000000     0.80000000     0.67217960     0.00000000
   66     0.80000000     0.80000000     0.67217960     0.00000000
   67     0.80000000     0.80000000     0.67217960     0.00000000
   68     0.80000000     0.80000000     0.67217960     0.00000000
   69     0.80000000     0.80000000     0.67217960     0.00000000
   70     0.80000000     0.80000000     0.67217960     0.00000000
   71     0.80000000     0.80000000     0.67217960     0.00000000
   72     0.80000000     0.80000000     0.67217960     0.00000000
   73     0.80000000     0.80000000     0.67217960     0.00000000
   74     0.80000000     0.80000000     0.67217960     0.00000000
   75     0.80000000     0.80000000     0.67217960     0.00000000
   76     0.80000000     0.80000000     0.67217960     0.00000000
   77     0.80000000     0.80000000     0.67217960     0.00000000
   78     0.80000000     0.80000000     0.67217960     0.00000000
   79     0.80000000     0.80000000     0.67217960     0.00000000
   80     0.80000000     0.80000000     0.67217960     0.00000000
   81     0.80000000     0.80000000     0.67217960     0.00000000
   82     0.80000000     0.80000000     0.67217960     0.00000000
   83     0.80000000     0.80000000     0.67217960     0.00000000
   84     0.80000000     0.80000000     0.67217960     0.00000000
   85     0.80000000     0.80000000     0.67217960     0.00000000
   86     0.80000000     0.80000000     0.67217960     0.00000000
   87     0.80000000     0.80000000     0.67217960     0.00000000
   88     0.80000000     0.80000000     0.67217960     0.00000000
   89     0.80000000     0.80000000     0.67217960     0.00000000
   90     0.80000000     0.80000000     0.67217960     0.00000000
   91     0.80000000     0.80000000     0.67217960     0.00000000
   92     0.80000000     0.80000000     0.67217960     0.00000000
   93     0.80000000     0.80000000     0.67217960     0.00000000
   94     0.80000000     0.80000000     0.67217960     0.00000000
   95     0.80000000     0.80000000     0.67217960     0.00000000
   96     0.80000000     0.80000000     0.67217960     0.00000000
   97     0.80000000     0.80000000     0.67217960     0.00000000
   98     0.80000000     0.80000000     0.67217960     0.00000000
   99     0.80000000     0.80000000     0.67217960     0.00000000
  100     0.80000000     0.80000000     0.67217960     0.00000000
Did not converge (max iterations reached)

=== TASK 9.b ===

=== TASK 9: 9.b: x² + y² = 2, e^{x-1} + y³ = 2 ===
Initial guess: (1.20000000, 0.80000000)
 Iter              x              y       ||F||₂     ||ΔX||₂
----------------------------------------------------------------------
    0     1.20000000     0.80000000     0.27834168     0.00000000
    1     1.20000000     0.80000000     0.27834168     0.00000000
    2     1.20000000     0.80000000     0.27834168     0.00000000
    3     1.20000000     0.80000000     0.27834168     0.00000000
    4     1.20000000     0.80000000     0.27834168     0.00000000
    5     1.20000000     0.80000000     0.27834168     0.00000000
    6     1.20000000     0.80000000     0.27834168     0.00000000
    7     1.20000000     0.80000000     0.27834168     0.00000000
    8     1.20000000     0.80000000     0.27834168     0.00000000
    9     1.20000000     0.80000000     0.27834168     0.00000000
   10     1.20000000     0.80000000     0.27834168     0.00000000
   11     1.20000000     0.80000000     0.27834168     0.00000000
   12     1.20000000     0.80000000     0.27834168     0.00000000
   13     1.20000000     0.80000000     0.27834168     0.00000000
   14     1.20000000     0.80000000     0.27834168     0.00000000
   15     1.20000000     0.80000000     0.27834168     0.00000000
   16     1.20000000     0.80000000     0.27834168     0.00000000
   17     1.20000000     0.80000000     0.27834168     0.00000000
   18     1.20000000     0.80000000     0.27834168     0.00000000
   19     1.20000000     0.80000000     0.27834168     0.00000000
   20     1.20000000     0.80000000     0.27834168     0.00000000
   21     1.20000000     0.80000000     0.27834168     0.00000000
   22     1.20000000     0.80000000     0.27834168     0.00000000
   23     1.20000000     0.80000000     0.27834168     0.00000000
   24     1.20000000     0.80000000     0.27834168     0.00000000
   25     1.20000000     0.80000000     0.27834168     0.00000000
   26     1.20000000     0.80000000     0.27834168     0.00000000
   27     1.20000000     0.80000000     0.27834168     0.00000000
   28     1.20000000     0.80000000     0.27834168     0.00000000
   29     1.20000000     0.80000000     0.27834168     0.00000000
   30     1.20000000     0.80000000     0.27834168     0.00000000
   31     1.20000000     0.80000000     0.27834168     0.00000000
   32     1.20000000     0.80000000     0.27834168     0.00000000
   33     1.20000000     0.80000000     0.27834168     0.00000000
   34     1.20000000     0.80000000     0.27834168     0.00000000
   35     1.20000000     0.80000000     0.27834168     0.00000000
   36     1.20000000     0.80000000     0.27834168     0.00000000
   37     1.20000000     0.80000000     0.27834168     0.00000000
   38     1.20000000     0.80000000     0.27834168     0.00000000
   39     1.20000000     0.80000000     0.27834168     0.00000000
   40     1.20000000     0.80000000     0.27834168     0.00000000
   41     1.20000000     0.80000000     0.27834168     0.00000000
   42     1.20000000     0.80000000     0.27834168     0.00000000
   43     1.20000000     0.80000000     0.27834168     0.00000000
   44     1.20000000     0.80000000     0.27834168     0.00000000
   45     1.20000000     0.80000000     0.27834168     0.00000000
   46     1.20000000     0.80000000     0.27834168     0.00000000
   47     1.20000000     0.80000000     0.27834168     0.00000000
   48     1.20000000     0.80000000     0.27834168     0.00000000
   49     1.20000000     0.80000000     0.27834168     0.00000000
   50     1.20000000     0.80000000     0.27834168     0.00000000
   51     1.20000000     0.80000000     0.27834168     0.00000000
   52     1.20000000     0.80000000     0.27834168     0.00000000
   53     1.20000000     0.80000000     0.27834168     0.00000000
   54     1.20000000     0.80000000     0.27834168     0.00000000
   55     1.20000000     0.80000000     0.27834168     0.00000000
   56     1.20000000     0.80000000     0.27834168     0.00000000
   57     1.20000000     0.80000000     0.27834168     0.00000000
   58     1.20000000     0.80000000     0.27834168     0.00000000
   59     1.20000000     0.80000000     0.27834168     0.00000000
   60     1.20000000     0.80000000     0.27834168     0.00000000
   61     1.20000000     0.80000000     0.27834168     0.00000000
   62     1.20000000     0.80000000     0.27834168     0.00000000
   63     1.20000000     0.80000000     0.27834168     0.00000000
   64     1.20000000     0.80000000     0.27834168     0.00000000
   65     1.20000000     0.80000000     0.27834168     0.00000000
   66     1.20000000     0.80000000     0.27834168     0.00000000
   67     1.20000000     0.80000000     0.27834168     0.00000000
   68     1.20000000     0.80000000     0.27834168     0.00000000
   69     1.20000000     0.80000000     0.27834168     0.00000000
   70     1.20000000     0.80000000     0.27834168     0.00000000
   71     1.20000000     0.80000000     0.27834168     0.00000000
   72     1.20000000     0.80000000     0.27834168     0.00000000
   73     1.20000000     0.80000000     0.27834168     0.00000000
   74     1.20000000     0.80000000     0.27834168     0.00000000
   75     1.20000000     0.80000000     0.27834168     0.00000000
   76     1.20000000     0.80000000     0.27834168     0.00000000
   77     1.20000000     0.80000000     0.27834168     0.00000000
   78     1.20000000     0.80000000     0.27834168     0.00000000
   79     1.20000000     0.80000000     0.27834168     0.00000000
   80     1.20000000     0.80000000     0.27834168     0.00000000
   81     1.20000000     0.80000000     0.27834168     0.00000000
   82     1.20000000     0.80000000     0.27834168     0.00000000
   83     1.20000000     0.80000000     0.27834168     0.00000000
   84     1.20000000     0.80000000     0.27834168     0.00000000
   85     1.20000000     0.80000000     0.27834168     0.00000000
